BIL      ,LONGITUD,LATITUD,"KOD FASILITI
","NAMA
","ALAMAT 
",POSKOD           ,LOKASI                             ,PEJABAT KESIHATAN DAERAH,"BANDAR
",DAERAH           ,"NEGERI
",PURATA BEBAN KERJA SEHARI,"JENIS KLINIK (BERDASARKAN PURATA BEBAN KERJA SEHARI)                                                                                                                                 KK1 = >800, KK2 = 500-800, KK3 = 300-500, KK4 =150 -300, KK5 = 100-150, KK6 = 50-100, KK7 = <50",NO TELEFON                          ,NO FAX             ,VAKSIN BCG (Tuberculosis),VAKSIN HEP B (Hepatitis B),"VAKSIN DTaP-Hib/IPV (Difteria, Tetanus, Pertusis, Hemophilus Influenza B, Polio)","VAKSIN MMR (Measles, Mumps, Rubella)",VAKSIN JE (Japaneese Encephalitis),VAKSIN Measles
228,101.467690,2.905090,21-10050076,KK TELOK PANGLIMA GARANG,TELUK PANGLIMA GARANG ,42500,BANDAR,PKD KUALA LANGAT,KUALA LANGAT,KUALA LANGAT,SELANGOR,387,KK3,03-31227433,03-31227776,Ada,Ada,Ada,Ada,Tiada,Tiada
229,101.521852,2.790768,21-10050130,KK KAMPUNG SUNGAI LANG,BANTING,42700,LUAR BANDAR,PKD KUALA LANGAT,BANTING,KUALA LANGAT,SELANGOR,54,KK6,03-31803739,-,Ada,Ada,Ada,Ada,Tiada,Tiada
230,101.474770,2.932734,21-10050087,KK KEBUN BARU,"JALAN DATO KASMAN, KEBUN BARU, TELUK PANGLIMA GARANG ",42500,LUAR BANDAR,PKD KUALA LANGAT,BANTING,KUALA LANGAT,SELANGOR,207,KK4,03-31220943,-,Ada,Ada,Ada,Ada,Tiada,Tiada
231,101.407740,3.379410,21-10060029,KK BESTARI JAYA,"LOT 1867 JALAN KAMPONG, KUALA SELANGOR",45600,BANDAR,PKD KUALA SELANGOR,BESTARI JAYA,KUALA SELANGOR,SELANGOR,337,KK3,03-32719151,03-32710170,Ada,Ada,Ada,Ada,Tiada,Tiada
232,101.414710,3.317610,21-10060036,KK IJOK,JKR 1087 JALAN SIMPANG TIGA,45600,BANDAR,PKD KUALA SELANGOR,IJOK,KUALA SELANGOR,SELANGOR,276,KK4,03-32791167,03-32895044 (PKD),Ada,Ada,Ada,Ada,Tiada,Tiada
233,101.314800,3.233810,21-10060038,KK JERAM,JERAM,45800,BANDAR,PKD KUALA SELANGOR,JERAM,KUALA SELANGOR,SELANGOR,230,KK4,03-32647075,03-32895044 (PKD),Ada,Ada,Ada,Ada,Tiada,Tiada
234,101.250000,3.336840,21-10060045,KK KUALA SELANGOR,JALAN KLINIK,45000,BANDAR,PKD KUALA SELANGOR,KUALA SELANGOR,KUALA SELANGOR,SELANGOR,400,KK3,03-32891142,03-32895044 (PKD),Ada,Ada,Ada,Ada,Tiada,Tiada
235,101.173780,3.421130,21-10060073,KK TANJUNG KARANG,JALAN SUNGAI KAJANG,45500,BANDAR,PKD KUALA SELANGOR,TANJUNG KARANG,KUALA SELANGOR,SELANGOR,188,KK4,03-32698355,03-32895044 (PKD),Ada,Ada,Ada,Ada,Tiada,Tiada
236,101.201125,3.439142,21-10060190,KK SUNGAI TENGI KANAN,"JALAN KIAI MOHD, KAMPUNG SUNGAI TENGI KANAN, TANJONG KARANG",45500,LUAR BANDAR,PKD KUALA SELANGOR,KUALA SELANGOR,KUALA SELANGOR,SELANGOR,110,KK3,03-32694357,-,Ada,Ada,Ada,Ada,Tiada,Tiada
237,101.774325,3.069505,21-10060099,KK BUKIT CERAKAH,"JALAN RIZAB MASJID, KG BUKIT CHERAKAH, JERAM",45800,LUAR BANDAR,PKD KUALA SELANGOR,TANJONG KARANG,KUALA SELANGOR,SELANGOR,193,KK4,03-32640014,-,Ada,Ada,Ada,Ada,Tiada,Tiada
238,101.600640,3.099130,21-10070043,KK KELANA JAYA,"LOT.38294, JLN SS6/3A KELANA JAYA",47301,BANDAR,PKD PETALING,KELANA JAYA,PETALING,SELANGOR,1253,KK1,03-78045001,03-78048475,Ada,Ada,Ada,Ada,Tiada,Tiada
239,101.619750,2.993980,21-10070051,KK PUCHONG,"BATU 14, JALAN PUCHONG",47100,BANDAR,PKD PETALING,PUCHONG,PETALING,SELANGOR,1730,KK1,03-80611814,03-80624003,Ada,Ada,Ada,Ada,Tiada,Tiada
240,101.533226,3.049873,21-10070248,KK SEKSYEN 19,"JALAN GELORA 19/46, SEKSYEN 19 SHAH ALAM",40300,BANDAR,PKD PETALING,SHAH ALAM,PETALING,SELANGOR,1348,KK1,03-55413570,03-55413585,Ada,Ada,Ada,Ada,Tiada,Tiada
241,101.491180,3.072010,21-10070063,KK SEKSYEN 7 SHAH ALAM,NO.2 PERSIARAN KAYANGAN SEKSYEN 7,40000,BANDAR,PKD PETALING,SHAH ALAM,PETALING,SELANGOR,1377,KK1,03-55186531 / 03-55186534,03-55186532,Ada,Ada,Ada,Ada,Tiada,Tiada
242,101.711340,3.027400,21-10070062,KK SERI KEMBANGAN,JALAN BESAR,43300,BANDAR,PKD PETALING,SERI KEMBANGAN,PETALING,SELANGOR,1408,KK1,03-89455929,03-89451225,Ada,Ada,Ada,Ada,Tiada,Tiada
243,101.620063,2.993923,21-10070088,KK BATU 13 1/2 PUCHONG,"BATU 13, JALAN KLANG LAMA",47100,LUAR BANDAR,PKD PETALING,PUCHONG,PETALING,SELANGOR,324,KK3,03-80623984,-,Ada,Ada,Ada,Ada,Tiada,Tiada
244,101.634740,3.079000,21-10070206,KK TAMAN MEDAN,"JLN PJS 2C/5 TAMAN DATO HARUN, PETALING ",46000,LUAR BANDAR,PKD PETALING,PETALING JAYA,PETALING,SELANGOR,1531,KK1,03-77819001,03-77819105,Ada,Ada,Ada,Ada,Tiada,Tiada
245,101.544751,3.200890,21-10080270,KK PAYA JARAS,"BT.15 SUNGAI BULOH, SG BULOH",47000,LUAR BANDAR,PKD PETALING,SUNGAI BULOH,PETALING,SELANGOR,195,KK4,03-61579135,03-78051458 (PKD),Ada,Ada,Ada,Ada,Tiada,Tiada
246,101.056794,3.749379,21-10080027,KK BAGAN TERAP,JALAN BAGAN TERAP,45300,BANDAR,PKD SABAK BERNAM,SUNGAI BESAR,SABAK BERNAM,SELANGOR,104,KK5,03-32162722,03-32241354 (PKD),Ada,Ada,Ada,Ada,Tiada,Tiada
247,100.843100,3.816590,21-10080049,KK PARIT BARU,"JALAN MASJID, SUNGAI AIR TAWAR",45100,BANDAR,PKD SABAK BERNAM,SABAK BERNAM,SABAK BERNAM,SELANGOR,116,KK5,03-32136223,03-32241354 (PKD),Ada,Ada,Ada,Ada,Tiada,Tiada
248,101.102590,3.509850,21-10080058,KK SEKINCHAN,"JALAN PEKAN, SEKINCAN SABAK BERNAM",45100,BANDAR,PKD SABAK BERNAM,SEKINCHAN,SABAK BERNAM,SELANGOR,248,KK4,03-32410331,03-32241354 (PKD),Ada,Ada,Ada,Ada,Tiada,Tiada
249,100.989010,3.675980,21-10080067,KK SUNGAI BESAR,JALAN SUNGAI LIMAU,45300,BANDAR,PKD SABAK BERNAM,SUNGAI BESAR,SABAK BERNAM,SELANGOR,288,KK4,03-32241358,03-32241354 (PKD),Ada,Ada,Ada,Ada,Tiada,Tiada
250,100.886940,3.788330,21-10080066,KK SUNGAI AIR TAWAR,"JLN SEKOLAH, SUNGAI AIR TAWAR",45100,LUAR BANDAR,PKD SABAK BERNAM,SABAK BERNAM,SABAK BERNAM,SELANGOR,68,KK6,03-32136227,03-32241354 (PKD),Ada,Ada,Ada,Ada,Tiada,Tiada
251,101.126590,3.713370,21-10080239,KK MERBAU BERDARAH,JALAN SUNGAI PANJANG,45300,LUAR BANDAR,PKD SABAK BERNAM,SABAK BERNAM,SABAK BERNAM,SELANGOR,52,KK6,03-32161694,03-32241354,Ada,Ada,Ada,Ada,Tiada,Tiada
252,100.985759,3.770613,21-10080295,KK SABAK BERNAM,JALAN RAJA CHULAN,45200,LUAR BANDAR,Sabak Bernam,SABAK BERNAM,SELANGOR,SELANGOR,102,KK5,03-32161355,,Ada,Ada,Ada,Ada,Tiada,Tiada
253,101.049432,3.626338,21-10080761,KK SIMPANG LIMA,SUNGAI BESAR,45300,LUAR BANDAR,PKD SABAK BERNAM,SABAK BERNAM,SABAK BERNAM,SELANGOR,145,KK5,,,Ada,Ada,Ada,Ada,Tiada,Tiada
254,101.681697,2.859739,21-10090034,KK DENGKIL,"JALAN BESAR DENGKIL, DENGKIL ",43800,BANDAR,PKD SEPANG,SEPANG,SEPANG,SELANGOR,291,KK4,03-87686355,03-87689190,Ada,Ada,Ada,Ada,Tiada,Tiada
255,101.749167,2.789722,21-10090057,KK SALAK,JALAN SALAK ,43900,BANDAR,PKD SEPANG,SEPANG,SEPANG,SELANGOR,615,KK2,03-87069001,03-87066002 (PKD),Ada,Ada,Ada,Ada,Tiada,Tiada
256,101.718489,2.644631,21-10090069,KK SUNGAI PELEK,JALAN SG PELEK ,43950,BANDAR,PKD SEPANG,SEPANG,SEPANG,SELANGOR,263,KK4,03-31411242,03-31412235,Ada,Ada,Ada,Ada,Tiada,Tiada
257,101.751848,2.691896,21-10090272,KK SEPANG,JALAN KELAP,43900,LUAR BANDAR,PKD SEPANG,SEPANG,SEPANG,SELANGOR,78,KK6,03-31422785,03-87066002 (PKD),Ada,Ada,Ada,Ada,Tiada,Tiada
258,101.720489,3.087158,21-14010009,KK BANDAR TUN RAZAK,NO. 16 & 18 JALAN JUJUR 3,56000,BANDAR,PKD CHERAS,BANDAR TUN RAZAK,WP KUALA LUMPUR,WP KUALA LUMPUR,243,KK4,03-91713333,03-91731387,Ada,Ada,Ada,Ada,Tiada,Tiada
259,101.676703,3.200758,21-14010010,KK BATU,"LOT 98 TINGKAT 1, BATU 4 1/2, JALAN IPOH",52100,BANDAR,PKD KEPONG,KUALA LUMPUR,WP KUALA LUMPUR,WP KUALA LUMPUR,583,KK2,03-62573355,03-62574763,Ada,Ada,Ada,Ada,Tiada,Tiada
260,101.724693,3.106670,21-14010011,KK CHERAS,"NO. 14, JALAN YAACOB LATIF",56000,BANDAR,PKD CHERAS,CHERAS,CHERAS,WP KUALA LUMPUR,1478,KK1,03-91333322,03-91309020,Ada,Ada,Ada,Ada,Tiada,Tiada
261,101.748440,3.106260,21-14010012,KK CHERAS BARU,"JALAN 16 , JALAN KUARI, KAMPUNG CHERAS BARU",56100,BANDAR,PKD CHERAS,CHERAS,CHERAS,WP KUALA LUMPUR,429,KK3,03-42946114,03-42970442,Ada,Ada,Ada,Ada,Tiada,Tiada
262,101.736419,3.166708,21-14010013,KK DATO' KERAMAT,JALAN JELATIK,54200,BANDAR,PKD TITIWANGSA,KUALA LUMPUR,SETIAWANGSA,WP KUALA LUMPUR,549,KK2,03-42573333,03-42564318,Ada,Ada,Ada,Ada,Tiada,Tiada
263,101.654214,3.219822,21-14010014,KK JINJANG,"NO.2, JALAN JINJANG SETIA 3, JINJANG UTARA TAMBAHAN",52000,BANDAR,PKD KEPONG,KUALA LUMPUR,KEPONG,WP KUALA LUMPUR,1107,KK1,03-62583355,03-62578603,Ada,Ada,Ada,Ada,Tiada,Tiada
264,101.732539,3.144239,21-14010015,KK KAMPUNG PANDAN,"JALAN BELANGKAS, KAMPUNG PANDAN",55100,BANDAR,PKD TITIWANGSA,KUALA LUMPUR,WP KUALA LUMPUR,WP KUALA LUMPUR,455,KK3,03-92810272,03-92853095,Ada,Ada,Ada,Ada,Tiada,Tiada
265,101.665244,3.079358,21-14010017,KK PETALING BAHAGIA,"BATU 6, JALAN PUCHONG",58200,BANDAR,PK Lembah Pantai,KUALA LUMPUR,WP KUALA LUMPUR,WP KUALA LUMPUR,453,KK3,03-77829355,03-77846246,Ada,Ada,Ada,Ada,Tiada,Tiada
266,101.691340,3.183670,21-14010018,KK SENTUL,"TINGKAT 2, KOMPLEKS PERNIAGAAN & KOMUNITI, JALAN 3/48A, BANDAR BARU SENTUL",55100,BANDAR,PKD TITIWANGSA,BANDAR BARU SENTUL,WP KUALA LUMPUR,WP KUALA LUMPUR,513,KK2,03-40427557/ 03-40430398,03-40411736,Ada,Ada,Ada,Ada,Tiada,Tiada
267,101.720417,3.197178,21-14010019,KK SETAPAK,"NO. 26&28 JLN. 9/23A, MEDAN MAKMUR OFF JALAN USAHAWAN",53300,BANDAR,PKD TITIWANGSA,KUALA LUMPUR,WP KUALA LUMPUR,WP KUALA LUMPUR,1931,KK1,03-41425429,03-41497230,Ada,Ada,Ada,Ada,Tiada,Tiada
268,101.710439,3.063225,21-14010020,KK SUNGAI BESI,"NO.80 & 80-1, JALAN TASIK UTAMA 5, MEDAN NIAGA TASIK DAMAI",57000,BANDAR,PKD CHERAS,SG BESI,BANDAR TUN RAZAK,WP KUALA LUMPUR,817,KK1,03-90585464,03-90586017,Ada,Ada,Ada,Ada,Tiada,Tiada
269,101.691319,3.144953,21-14010021,KK TANGLIN,JALAN CENDERASARI,50590,BANDAR,PK Lembah Pantai,KUALA LUMPUR,WP KUALA LUMPUR,WP KUALA LUMPUR,577,KK2,03-26983311,03-26925361,Ada,Ada,Ada,Ada,Tiada,Tiada
270,101.676280,2.941260,21-16010003,KK PUTRAJAYA PRESINT 9,"NO 1, JALAN PRESINT 9E, PRESINT 9",62250,BANDAR,PKD PUTRAJAYA,PUTRAJAYA,PUTRAJAYA,WP PUTRAJAYA,1492,KK1,03-88883057,03-88883054,Ada,Ada,Ada,Ada,Tiada,Tiada
271,101.726309,2.953556,21-16010008,KK PUTRAJAYA PRESINT 14,"LOT BILIK BACAAN, BLOK E, KUARTERS KAKITANGAN KERAJAAN PRESINT 14",62250,BANDAR,PKD PUTRAJAYA,PUTRAJAYA,PUTRAJAYA,WP PUTRAJAYA,131,KK5,03-88880167,03-88811496,Ada,Ada,Ada,Ada,Tiada,Tiada
272,101.677440,2.953164,21-16010009,KK PUTRAJAYA PRESINT 11,"KUARTERS PENJAWAT AWAM, ZON 6B, JALAN P11J, PRESINT 11, ",62300,BANDAR,PKD PUTRAJAYA,PUTRAJAYA,PUTRAJAYA,WP PUTRAJAYA,241,KK4,03-88811732,03-88811277,Ada,Ada,Ada,Ada,Tiada,Tiada
273,101.696239,2.922651,21-16010010,KK PUTRAJAYA PRESINT 18,"JALAN P18 C1, PRESINT 18",62602,BANDAR,PKD PUTRAJAYA,PUTRAJAYA,PUTRAJAYA,WP PUTRAJAYA,641,KK2,03-88810062,03-88810636,Ada,Ada,Ada,Ada,Tiada,Tiada
274,102.369240,3.026010,21-05020034,KK LUI MUDA,"BANDAR SRI JEMPOL, BAHAU",72120,LUAR BANDAR,PKD JEMPOL,BANDAR SERI JEMPOL,JEMPOL,NEGERI SEMBILAN,101,KK5,06-4691003,06-4692243,Ada,Ada,Ada,Ada,Tiada,Tiada
275,102.647130,2.741800,21-05020038,"KK PALONG 4,5,6","KLINIK KESIHATAN PALONG 4,5,6",73430,LUAR BANDAR,PKD JEMPOL,GEMAS,JEMPOL,NEGERI SEMBILAN,200,KK4,06-4666433,06-4667299,Ada,Ada,Ada,Ada,Tiada,Tiada
276,102.493620,2.945500,21-05020050,KK SERTING HILIR,"SERTING HILIR, BANDAR SRI JEMPOL",72120,LUAR BANDAR,PKD JEMPOL,BANDAR SERI JEMPOL,JEMPOL,NEGERI SEMBILAN,147,KK5,06-4683829,06-4683394,Ada,Ada,Ada,Ada,Tiada,Tiada
277,102.378073,2.803579,21-05020021,KK BAHAU,BAHAU,72100,LUAR BANDAR,PKD JEMPOL,BAHAU,JEMPOL,NEGERI SEMBILAN,429,KK3,06-4541234,06- 4547376,Ada,Ada,Ada,Ada,Tiada,Tiada
278,102.394580,2.897900,21-05020028,KK BANDAR SERI JEMPOL,BANDAR SERI JEMPOL,72120,LUAR BANDAR,PKD JEMPOL,BANDAR SERI JEMPOL,JEMPOL,NEGERI SEMBILAN,242,KK4,06-4581667,06-4585140 (PKD),Ada,Ada,Ada,Ada,Tiada,Tiada
279,102.667300,2.822010,21-05020039,KK PALONG 7&8(FELDA),GEMAS,73430,LUAR BANDAR,PKD JEMPOL,GEMAS,JEMPOL,NEGERI SEMBILAN,127,KK5,06-4645549,06-4585140 (PKD),Ada,Ada,Ada,Ada,Tiada,Tiada
280,102.581050,2.784380,21-05020040,"KK PALONG 9,10,11","JKR 861, KLINIK KESIHATAN PALONG, 9,10,11, GEMAS",73430,LUAR BANDAR,PKD JEMPOL,GEMAS,JEMPOL,NEGERI SEMBILAN,100,KK5,06-4668419,06-4668360,Ada,Ada,Ada,Ada,Tiada,Tiada
281,102.059860,2.955110,21-05010027,KK JELEBU,KUALA KLAWANG,71600,LUAR BANDAR,PKD JELEBU,KUALA KLAWANG,JELEBU,NEGERI SEMBILAN,173,KK4,06-6139497,06-6137944,Ada,Ada,Ada,Ada,Tiada,Tiada
282,102.266040,3.024181,21-05010086,KK PASOH 1,"PASOH 1, SIMPANG PERTANG JELEBU",72300,LUAR BANDAR,PKD JELEBU,SIMPANG PERTANG,JELEBU,NEGERI SEMBILAN,52,KK6,06-4951272,06-6137614 (PKD),Ada,Ada,Ada,Ada,Tiada,Tiada
283,102.224100,2.955740,21-05010043,KK PERTANG,SIMPAN PERTANG,72300,LUAR BANDAR,PKD JELEBU,SIMPANG PERTANG,JELEBU,NEGERI SEMBILAN,123,KK5,06-4941287,06-4941455,Ada,Ada,Ada,Ada,Tiada,Tiada
284,102.220990,3.101280,21-05010051,KK SIMPANG DURIAN,SIMPANG DURIAN,72400,LUAR BANDAR,PKD JELEBU,SIMPANG DURIAN,JELEBU,NEGERI SEMBILAN,121,KK5,06-4914522,06-4914340,Ada,Ada,Ada,Ada,Tiada,Tiada
285,102.079250,3.002440,21-05010055,KK TITI,JELEBU,71650,LUAR BANDAR,PKD JELEBU,TITI,JELEBU,NEGERI SEMBILAN,83,KK6,06-6111398,06-6137614 (PKD),Ada,Ada,Ada,Ada,Tiada,Tiada
286,102.248940,2.737180,21-05030031,KK KUALA PILAH,KUALA PILAH,72000,LUAR BANDAR,PKD KUALA PILAH,KUALA PILAH,KUALA PILAH,NEGERI SEMBILAN,464,KK3,06- 4842844,06-4842846,Ada,Ada,Ada,Ada,Tiada,Tiada
287,102.145620,2.668110,21-05030025,KK GUNUNG PASIR,SRI MENANTI,71550,LUAR BANDAR,PKD KUALA PILAH,SRI MENANTI,KUALA PILAH,NEGERI SEMBILAN,28,KK7,06- 4979245,06-4818062 (PKD),Ada,Ada,Ada,Ada,Tiada,Tiada
288,102.268900,2.608700,21-05030029,KK JOHOL,KUALA PILAH,73100,LUAR BANDAR,PKD KUALA PILAH,JOHOL,KUALA PILAH,NEGERI SEMBILAN,144,KK5,06- 4367239,06-4818062 (PKD),Ada,Ada,Ada,Ada,Tiada,Tiada
289,102.302910,2.793340,21-05030030,KK JUASSEH,KUALA PILAH,72500,LUAR BANDAR,PKD KUALA PILAH,KUALA PILAH,KUALA PILAH,NEGERI SEMBILAN,223,KK4,06- 4981581,06-4818062 (PKD),Ada,Ada,Ada,Ada,Tiada,Tiada
290,102.270700,2.859190,21-05030037,KK PADANG LEBAR,BATU KIKIR,72200,LUAR BANDAR,PKD KUALA PILAH,BATU KIKIR,KUALA PILAH,NEGERI SEMBILAN,56,KK6,06-4982667,06-4815062 (PKD),Ada,Ada,Ada,Ada,Tiada,Tiada
291,102.253180,2.705770,21-05030096,KK SENALING,KUALA PILAH,72000,LUAR BANDAR,PKD KUALA PILAH,KUALA PILAH,KUALA PILAH,NEGERI SEMBILAN,75,KK6,06- 4814479,06-4815062 (PKD),Ada,Ada,Ada,Ada,Tiada,Tiada
292,102.161485,2.698637,21-05030052,KK SRI MENANTI,SRI MENANTI,71550,LUAR BANDAR,PKD KUALA PILAH,SRI MENANTI,KUALA PILAH,NEGERI SEMBILAN,43,KK7,06-4979581,06-4818062 (PKD),Ada,Ada,Ada,Ada,Tiada,Tiada
293,102.134590,2.741710,21-05030054,KK TERACHI,TANJONG IPOH,71500,LUAR BANDAR,PKD KUALA PILAH,TANJONG IPOH,KUALA PILAH,NEGERI SEMBILAN,56,KK6,06-4887202,06-4818062 (PKD),Ada,Ada,Ada,Ada,Tiada,Tiada
294,101.743420,2.643170,21-05040022,KK BUKIT PELANDUK,PORT DICKSON,71960,BANDAR,PKD PORT DICKSON,PORT DICKSON,PORT DICKSON,NEGERI SEMBILAN,138,KK5,06-6581964,06-6473179 (PKD),Ada,Ada,Ada,Ada,Tiada,Tiada
295,102.017370,2.482700,21-05040033,KK LINGGI,DAERAH PORT DICKSON,71150,BANDAR,PKD PORT DICKSON,LINGGI,PORT DICKSON,NEGERI SEMBILAN,131,KK5,06-6970213,06-6473179 (PKD),Ada,Ada,Ada,Ada,Tiada,Tiada
296,101.837600,2.576170,21-05040130,KK LUKUT,"KM 10, JALAN SEREMBAN LUKUT, PORT DICKSON",71010,BANDAR,PKD PORT DICKSON,LUKUT,PORT DICKSON,NEGERI SEMBILAN,329,KK3,06-6511951,06-6511936,Ada,Ada,Ada,Ada,Tiada,Tiada
297,101.937120,2.429350,21-05040041,KK PASIR PANJANG,PASIR PANJANG,71250,BANDAR,PKD PORT DICKSON,PASIR PANJANG,PORT DICKSON,NEGERI SEMBILAN,154,KK4,06-6619349,06-6473179 (PKD),Ada,Ada,Ada,Ada,Tiada,Tiada
298,101.791810,2.528360,21-05040044,KK PORT DICKSON,"KM 1, JALAN SEREMBAN PORT DICKSON",71000,BANDAR,PKD PORT DICKSON,PORT DICKSON,PORT DICKSON,NEGERI SEMBILAN,651,KK2,06-6473333,06-6476021,Ada,Ada,Ada,Ada,Tiada,Tiada
299,102.118580,2.506840,21-05050020,KK ASTANA RAJA,"KG. ASTANA RAJA, REMBAU",71350,BANDAR,PKD REMBAU,REMBAU,REMBAU,NEGERI SEMBILAN,123,KK5,06-4382401,06-4381217,Ada,Ada,Ada,Ada,Tiada,Tiada
300,102.157145,2.521770,21-05050163,KK KOTA,KOTA,71350,LUAR BANDAR,PKD REMBAU,REMBAU,REMBAU,NEGERI SEMBILAN,49,KK7,06-4382251,06-4381219,Ada,Ada,Ada,Ada,Tiada,Tiada
301,102.062240,2.629170,21-05050042,KK PEDAS,PEKAN PEDAS,71400,LUAR BANDAR,PKD REMBAU,REMBAU,REMBAU,NEGERI SEMBILAN,210,KK4,06-6851306,06-6853268,Ada,Ada,Ada,Ada,Tiada,Tiada
302,102.093440,2.585760,21-05050047,KK REMBAU,JLN BATU HAMPAR,71300,LUAR BANDAR,PKD REMBAU,REMBAU,REMBAU,NEGERI SEMBILAN,339,KK3,06-6852010,06-6853897,Ada,Ada,Ada,Ada,Tiada,Tiada
303,101.987460,2.723670,21-05060019,KK AMPANGAN,"KM 4, JALAN SEREMBAN-KUALA PILAH",70400,BANDAR,PKD SEREMBAN,SEREMBAN,SEREMBAN,NEGERI SEMBILAN,678,KK2,06-6788986,06-6793120,Ada,Ada,Ada,Ada,Tiada,Tiada
304,101.961609,2.745346,21-05060155,KK DESA RHU,SIKAMAT,70400,LUAR BANDAR,PKD SEREMBAN,SEREMBAN,SEREMBAN,NEGERI SEMBILAN,223,KK4,06-7645561,06-7645561,Ada,Ada,Ada,Ada,Tiada,Tiada
305,101.936750,2.867170,21-05060032,KK LENGGENG,LENGGENG,71750,BANDAR,PKD SEREMBAN,LENGGENG,SEREMBAN,NEGERI SEMBILAN,100,KK5,03-87667499,06-7612145 (PKD),Ada,Ada,Ada,Ada,Tiada,Tiada
306,101.893150,2.824880,21-05060035,KK MANTIN,JALAN BESAR MANTIN,71700,BANDAR,PKD SEREMBAN,MANTIN,SEREMBAN,NEGERI SEMBILAN,299,KK4,06-7581242,06-7585480,Ada,Ada,Ada,Ada,Tiada,Tiada
307,101.798290,2.802610,21-05060036,KK NILAI,"NILAI SQUARE, NILAI",71800,BANDAR,PKD SEREMBAN,NILAI,SEREMBAN,NEGERI SEMBILAN,628,KK2,06-8504013,06-7612145 (PKD),Ada,Ada,Ada,Ada,Tiada,Tiada
308,101.764900,2.766390,21-05060045,KK QRTS KLIA,NILAI,71800,BANDAR,PKD SEREMBAN,NILAI,SEREMBAN,NEGERI SEMBILAN,202,KK4,06-7913352,06-7915216,Ada,Ada,Ada,Ada,Tiada,Tiada
309,101.961990,2.600580,21-05060046,KK RANTAU,RANTAU,71200,BANDAR,PKD SEREMBAN,RANTAU,SEREMBAN,NEGERI SEMBILAN,241,KK4,06-6941274,06-7612145 (PKD),Ada,Ada,Ada,Ada,Tiada,Tiada
310,101.988380,2.691910,21-05060179,KK SENAWANG,PERSIARAN SENAWANG 2,70450,BANDAR,PKD SEREMBAN,SENAWANG,SEREMBAN,NEGERI SEMBILAN,779,KK2,06-6766000,06-6751541,Ada,Ada,Ada,Ada,Tiada,Tiada
311,101.845990,2.679110,21-05060048,KK SENDAYAN (FELDA),FELDA SENDAYAN,71950,BANDAR,PKD SEREMBAN,SENDAYAN,SEREMBAN,NEGERI SEMBILAN,216,KK4,06-7922073,06-7612145 (PKD),Ada,Ada,Ada,Ada,Tiada,Tiada
312,101.938135,2.708479,21-05060049,KK SEREMBAN,JALAN RASAH,70300,BANDAR,PKD SEREMBAN,SEREMBAN,SEREMBAN,NEGERI SEMBILAN,1635,KK1,06-7679281,06-7679317,Ada,Ada,Ada,Ada,Tiada,Tiada
313,101.907688,2.706119,21-05060180,KK SEREMBAN 2,JALAN S2 A2,70300,BANDAR,PKD SEREMBAN,SEREMBAN 2,SEREMBAN,NEGERI SEMBILAN,580,KK2,06-6033700,06-6033713,Ada,Ada,Ada,Ada,Tiada,Tiada
314,102.953328,2.735133,21-05060206,KK SIKAMAT,"KLINIK KESIHATAN SIKAMAT, JLN. TUNKU KURSHIAH, ",70400,LUAR BANDAR,PKD SEREMBAN,SEREMBAN,SEREMBAN,NEGERI SEMBILAN,343,KK3,-,-,Ada,Ada,Ada,Ada,Tiada,Tiada
315,102.415984,2.663542,21-05070170,KK BUKIT ROKAN UTARA,GEMENCHEH,73200,LUAR BANDAR,PKD TAMPIN,GEMENCHEH,TAMPIN,NEGERI SEMBILAN,53,KK6,06-4512600,06-4411373 (PKD),Ada,Ada,Ada,Ada,Tiada,Tiada
316,102.604620,2.584250,21-05070023,KK GEMAS,"JALAN TOK SULONG, GEMAS",73400,BANDAR,PKD TAMPIN,GEMAS,TAMPIN,NEGERI SEMBILAN,407,KK3,07-9482352 / 07-9481562,07-9483568,Ada,Ada,Ada,Ada,Tiada,Tiada
317,102.399700,2.532800,21-05070024,KK GEMENCHEH,GEMENCHEH,73200,BANDAR,PKD TAMPIN,GEMENCHEH,TAMPIN,NEGERI SEMBILAN,426,KK3,06-4318304 / 06-4318251,06-4318241,Ada,Ada,Ada,Ada,Tiada,Tiada
318,102.488900,2.645860,21-05070026,KK JELAI,"GEMAS, TAMPIN",73400,BANDAR,PKD TAMPIN,GEMAS,TAMPIN,NEGERI SEMBILAN,274,KK4,06-4347488,06-4347376,Ada,Ada,Ada,Ada,Tiada,Tiada
319,102.234330,2.484500,21-05070053,KK TAMPIN,TAMPIN,73000,LUAR BANDAR,PKD TAMPIN,TAMPIN,TAMPIN,NEGERI SEMBILAN,643,KK2,06-4431806 / 06-4415462,06-4412329,Ada,Ada,Ada,Ada,Tiada,Tiada
320,102.484010,2.516680,21-05070018,KK AIR KUNING SELATAN,GEMENCHEH,73200,BANDAR,PKD TAMPIN,GEMENCEH,TAMPIN,NEGERI SEMBILAN,107,KK5,06-4478730 / 06-4478731,06-4411373 (PKD),Ada,Ada,Ada,Ada,Tiada,Tiada
321,102.286363,2.310834,21-04010014,KK DURIAN TUNGGAL,JALAN PADANG KELADI,76100,LUAR BANDAR,PKD ALOR GAJAH,DURIAN TUNGGAL,ALOR GAJAH,MELAKA,251,KK4,06-5531133,06-5534007,Ada,Ada,Ada,Ada,Tiada,Tiada
